,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
885,303797,238908,111,18340,9,18340,30,24,24,15,-0.052900001,-0.128000006,-0.020099999,,-0.103,-0.006,-0.0634,4.30E-03,,-7.73E-02,-4.97E-02
886,303800,238908,111,685,2,685,30,24,24,10,-0.26699999,-0.596000016,-0.125,,-0.485000014,-0.061999999,-0.312999994,-2.16E-02,,-0.372999996,-0.254000008
887,303802,238910,3,8924,2,8924,30,24,24,10,0.0167,0.038400002,0.0049,0.0141,0.0308,0.0031,0.02,-8.00E-04,9.20E-03,2.43E-02,1.82E-02
888,303804,238910,3,1084,9,1084,30,24,24,15,0.0004,0.0012,0,0.0002,0.0009,-1.00E-04,0.0005,-2.00E-04,1.00E-04,7.00E-04,1.80E-03
889,303806,238910,111,11168,2,11168,30,24,24,10,-0.0275,-0.0634,-0.0081,-0.0232,-0.050799999,-0.0051,-0.033,1.30E-03,-1.52E-02,-0.040100001,-3.01E-02
890,303808,238910,3,685,2,685,30,24,24,10,0.0138,0.0317,0.0041,0.0116,0.0254,0.0025,0.0165,-6.00E-04,7.60E-03,2.01E-02,1.50E-02
891,303812,238910,111,685,9,685,30,24,24,15,-0.001,-0.0029,0,-0.0005,-0.0023,0.0002,-0.0013,6.00E-04,-4.00E-04,-1.70E-03,-4.40E-03
892,303816,238910,111,685,12,685,30,24,24,8,0.609000027,0.465000004,0.666999996,0.617999971,0.508000016,0.69599998,0.583000004,0.713,0.64200002,0.531000018,0.612999976
893,303819,238910,3,1084,12,1084,30,24,24,8,-0.244000003,-0.186000004,-0.26699999,-0.246999994,-0.202999994,-0.277999997,-0.232999995,-0.284999996,-0.256999999,-0.211999997,-0.245000005
894,303822,238910,111,2770,12,2770,30,24,24,8,0.236000001,0.180000007,0.259000003,0.238999993,0.196999997,0.268999994,0.225999996,0.275999993,0.248999998,0.206,0.237000003
895,303825,238910,111,1084,12,1084,30,24,24,8,0.244000003,0.186000004,0.26699999,0.246999994,0.202999994,0.277999997,0.232999995,0.284999996,0.256999999,0.211999997,0.245000005
896,303828,238910,3,2770,9,2770,30,24,24,15,0.0004,0.0011,0,0.0002,0.0009,-1.00E-04,0.0005,-2.00E-04,1.00E-04,7.00E-04,1.70E-03
897,303830,238910,111,685,2,685,30,24,24,10,-0.0138,-0.0317,-0.0041,-0.0116,-0.0254,-0.0025,-0.0165,6.00E-04,-7.60E-03,-2.01E-02,-1.50E-02
898,303831,238910,111,2770,2,2770,30,24,24,10,-0.0053,-0.0123,-0.0016,-0.0045,-0.0099,-0.001,-0.0064,2.00E-04,-3.00E-03,-7.80E-03,-5.80E-03
899,303832,238910,3,685,4,685,30,24,24,11,0.076700002,0.109999999,-0.0078,0.0228,0.079099998,-0.017000001,0.037,-4.10E-02,7.30E-03,3.69E-02,1.93E-02
900,303837,238910,3,11168,12,11168,30,24,24,8,-1.220000029,-0.92900002,-1.330000043,-1.24000001,-1.019999981,-1.389999986,-1.169999957,-1.429999948,-1.279999971,-1.059999943,-1.230000019
901,303842,238914,3,685,2,685,30,24,24,10,0.051399998,0.116999999,0.028999999,0.039900001,0.095600002,0.020199999,0.059999999,6.30E-03,4.06E-02,7.34E-02,4.95E-02
902,303843,238914,111,18340,9,18340,30,24,24,15,-0.015,-0.036800001,,-0.0108,-0.0297,-0.0032,-0.017899999,2.00E-04,-1.13E-02,-0.022,-1.43E-02
903,303844,238914,3,18340,9,18340,30,24,24,15,0.015,0.036800001,0.0074,0.0108,0.0297,0.0032,0.017899999,-2.00E-04,1.13E-02,0.022,1.43E-02
904,303845,238914,111,18247,4,18247,30,24,24,11,-0.333999991,-0.509999991,,-0.222000003,-0.365999997,0.004,-0.172999993,5.94E-02,-0.081500001,-0.275999993,-0.131999999
905,303848,238914,3,18247,4,18247,30,24,24,11,0.333999991,0.509999991,0.042199999,0.222000003,0.365999997,-0.004,0.172999993,-5.94E-02,0.081500001,0.275999993,0.131999999
906,303857,238914,3,18247,2,18247,30,24,24,10,0.077100001,0.175999999,0.043499999,0.059999999,0.143000007,0.030300001,0.089500003,9.40E-03,6.10E-02,0.109999999,7.42E-02
907,303862,238914,111,18247,2,18247,30,24,24,10,-0.077100001,-0.175999999,,-0.059999999,-0.143000007,-0.030300001,-0.089500003,-9.40E-03,-6.10E-02,-0.109999999,-7.42E-02
